"PatientID","Diagnosis","Breed","Age","Sex","Neutered","WeightChange","Weight","Hospitalised","HeartRate","Temperature","Vomiting","Diarrhoea","Hepatomegaly","ThinDrySkin","Alopecia","Pruritus","MuscleWastageWeakness","Lethargy","Panting","Neurological","Polydipsia","Polyuria","IncreasedALKP","IncreasedATL/GGT/AST","LowUSG","Proteinuria","Hypertensive","LowBloodSugar","Hypothyroid","CruciateSurgery"
122,"1","Labrador Retriever",11,"M",True,"No change",37.45,False,84,38.3,False,False,False,False,False,False,False,False,False,False,False,False,"True","True",NULL,NULL,False,False,False,False
123,"1","Bichon Frise",10,"M",False,"No change",11.4,False,NULL,38.7,False,False,True,False,False,False,False,False,False,False,False,False,"True","True",NULL,NULL,False,False,False,False
124,"1","Crossbreed",13,"F",True,"Weight loss",6.9,False,NULL,38.6,False,False,False,False,False,False,False,False,False,False,True,True,"True","True","True",True,False,False,False,False
125,"1","Dachshund",3,"M",False,"Weight gain",6.8,False,NULL,NULL,False,False,True,False,True,False,False,True,False,False,False,False,NULL,NULL,NULL,NULL,False,False,False,False
126,"1","Springer Spaniel",8,"F",True,"Weight gain",25.1,False,104,NULL,False,False,False,False,False,False,False,False,False,False,True,False,NULL,NULL,"True",True,False,False,False,False
127,"1","Wheaten Terrier",14,"F",False,"No change",10.5,False,NULL,NULL,False,False,False,False,False,False,False,False,False,False,True,True,NULL,NULL,"True",False,False,False,False,False
128,"1","Crossbreed",13,"F",True,"No change",19.6,False,136,NULL,False,False,True,True,False,False,False,False,True,False,True,True,NULL,NULL,"True",False,False,False,True,False
129,"1","Lhasa Apso",12,"M",True,"Weight gain",7.8,False,120,38.6,False,False,True,True,True,False,True,False,True,False,False,False,"True",NULL,NULL,NULL,False,False,False,False
130,"1","Staffordshire Bull Terrier",11,"M",False,"Weight loss",NULL,False,NULL,NULL,False,True,True,False,False,False,False,False,False,False,False,False,"True",NULL,NULL,NULL,False,False,False,False
131,"1","Staffordshire Bull Terrier",10,"F",True,"No change",23.6,False,NULL,NULL,False,False,False,False,False,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,False,False,False,False
132,"1","French Bulldog",11,"F",True,"Weight gain",10.45,False,120,38.1,False,False,True,False,False,False,False,False,False,False,False,False,"True","True",NULL,NULL,False,False,False,False
133,"1","Border Terrier",8,"F",True,"No change",10.5,False,102,38.1,False,False,True,True,True,False,False,False,False,False,True,True,"True","True",NULL,NULL,False,False,False,False
